Exercise,ExerciseType,MovementType,Number of Reps,Date
Pushups in a circle,Bodyweight,Compound,20,2020-04-12 15:24:43.298636
Pushups in a circle,Bodyweight,Compound,9,2020-04-12 15:54:06.054855
Standing Calf Raises,Bodyweight,Compound,21,2020-04-12 16:18:23.389910
Bulgarian Split Squat,Bodyweight,Single,5,2020-04-12 16:41:39.032558
Squat Jumps,Bodyweight,Compound,10,2020-04-12 17:38:55.434216
Bulgarian Split Squat,Bodyweight,Single,18,2020-04-12 17:39:17.022722
Bulgarian Split Squat,Bodyweight,Single,16,2020-04-12 17:42:08.678115
Single Leg Hip Raise,Bodyweight,Single,18,2020-04-12 17:50:54.756641
Pushups,9,Bodyweight,Compound,2020-04-12 18:28:07.301898
Pistol Squat,Bodyweight,Single,10,2020-04-12 19:09:03.587682
Side Lunges,Bodyweight,Single,12,2020-04-12 19:15:33.646341
Single Leg Hip Raise,Bodyweight,Single,20,2020-04-12 19:16:22.858374
Lunges,Bodyweight,Single,11,2020-04-12 19:44:44.379324
Wall Sit,Bodyweight,Timed,8,2020-04-12 19:50:22.205654
Slow Negative Explosive Pushups,Bodyweight,Compound,3,2020-04-12 19:52:13.955228
Reverse Crunches,Bodyweight,Compound,15,2020-04-12 20:33:25.114611
Regular Crunches,Bodyweight,Compound,5,2020-04-12 20:49:41.631758
Single Leg Hip Raise,Bodyweight,Single,10,2020-04-12 20:53:00.751483
Step Ups,Bodyweight,Single,7,2020-04-12 20:55:57.608407
